harv_agg,species,inside_slash,year,n,avg_ht,sd_ht,avg_basal,sd_basal,avg_ht_cm,sd_ht_cm,avg_basal_sqm,sd_basal_sqm,avg_grdCov,sd_grdCov,avg_subCov,sd_subCov,avg_canCov,sd_canCov
sta_rd,sb,no,2020,34,33.05882352941177,15.362175462401522,NA,NA,83.96941176470588,39.019925674499866,NA,NA,67.05882352941177,19.622098205031858,0,0,22.058823529411764,18.55040827202527
sta_rd,sb,yes,2018,54,9.49074074074074,2.6793950682040943,NA,NA,24.10648148148148,6.805663473238399,NA,NA,NA,NA,NA,NA,NA,NA
sta_rd,sb,yes,2019,45,22.71,8.564949715927328,NA,NA,57.6834,21.75497227845542,NA,NA,NA,NA,NA,NA,NA,NA
sta_rd,sb,yes,2020,48,30.65625,11.115044553465898,NA,NA,77.86687500000001,28.23221316580338,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,no,2018,16,8.34375,3.510549577108025,NA,NA,21.193125000000002,8.916795925854384,NA,NA,54.0625,24.167385046793953,0,0,7.5,8.94427190999916
red_pine,ro,no,2019,15,12.705666666666666,6.2685903139230215,NA,NA,32.27239333333333,15.922219397364476,NA,NA,55,24.71263413143742,0,0,8,9.023778112773575
red_pine,ro,no,2020,15,16.966666666666665,7.909006318898788,NA,NA,43.095333333333336,20.088876050002924,NA,NA,55,24.71263413143742,0,0,7,9.023778112773575
red_pine,ro,yes,2018,14,7.464285714285714,3.309161442200947,NA,NA,18.959285714285716,8.405270063190406,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,yes,2019,14,15.053571428571429,9.122657007644257,NA,NA,38.23607142857143,23.171548799416414,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,ro,yes,2020,13,18.692307692307693,11.327581496687745,NA,NA,47.47846153846154,28.77205700158687,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,co,no,2018,27,5.7407407407407405,1.9519239540789293,NA,NA,14.581481481481482,4.957886843360481,NA,NA,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2019,27,10.518518518518519,4.243731760992825,NA,NA,26.717037037037038,10.779078672921774,NA,NA,16.666666666666668,2.401922307076307,0,0,48.51851851851852,20.700000688164927
red_pine,co,no,2020,24,12.791666666666666,6.016131695675399,NA,NA,32.490833333333335,15.280974507015511,NA,NA,16.666666666666668,2.407717061715384,0,0,46.666666666666664,20.989990713312086
red_pine,co,yes,2018,22,7.329545454545454,2.2017124877667107,NA,NA,18.617045454545455,5.592349718927445,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,co,yes,2019,22,13.340909090909092,4.665951553124389,NA,NA,33.88590909090909,11.851516944935947,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,co,yes,2020,22,17.863636363636363,5.827238621912609,NA,NA,45.373636363636365,14.801186099658025,NA,NA,16.363636363636363,6.396021490668313,0,0,13.636363636363637,9.534625892455923
red_pine,rm,no,2018,23,8.5,4.359550644066635,NA,NA,21.59,11.073258635929255,NA,NA,68.26086956521739,19.920791768000377,0,0,2.1739130434782608,5.804795618616821
red_pine,rm,no,2019,21,14.571428571428571,9.2429509820805,NA,NA,37.011428571428574,23.477095494484466,NA,NA,67.85714285714286,20.71059080346506,0,0,2.380952380952381,6.045462682675252
red_pine,rm,no,2020,22,20.931818181818183,12.932328864907893,NA,NA,53.166818181818186,32.84811531686605,NA,NA,69.54545454545455,19.390049664042277,0,0,1.5909090909090908,5.206763832784199
red_pine,rm,yes,2018,32,7.2421875,2.3456242505994007,NA,NA,18.39515625,5.957885596522478,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,rm,yes,2019,31,12.879032258064516,5.712147497417942,NA,NA,32.71274193548387,14.508854643441573,NA,NA,NA,NA,NA,NA,NA,NA
red_pine,rm,yes,2020,31,17.35483870967742,8.74947003003334,NA,NA,44.08129032258064,22.223653876284683,NA,NA,NA,NA,NA,NA,NA,NA
