harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,issue,year
red_pine,yes,no,920,rm,NA,60,0,5,12141,8,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12021,6.75,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12070,8.5,NA,2018
red_pine,no,no,930,ro,NA,40,0,0,14053,8,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14137,7.5,NA,2018
red_pine,no,no,931,ro,NA,85,0,0,14057,9.5,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14132,9,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14133,8,NA,2018
red_pine,no,no,932,ro,NA,95,0,0,14083,7,NA,2018
red_pine,yes,no,923,ro,NA,45,0,5,14012,8,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12138,9.5,1,2018
red_pine,no,no,934,co,NA,15,0,70,12090,8.5,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14134,7.25,NA,2018
red_pine,no,no,930,rm,NA,40,0,0,14053,5.5,NA,2018
boot,no,no,907,sb,NA,60,0,10,12056,6,NA,2018
wedge,no,no,943,sb,NA,80,0,0,12126,6.5,NA,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12126,8.5,NA,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14022,6.75,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12140,11.5,NA,2018
red_pine,yes,no,923,ro,NA,45,0,5,14010,17,1,2018
red_pine,no,no,935,co,NA,20,0,50,14119,6,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12091,12.5,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12118,5,1,2018
wedge,yes,no,939,sb,NA,70,0,80,12057,6.5,1,2018
red_pine,yes,no,938,co,NA,10,0,20,14139,6.5,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14127,11.5,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14122,6.25,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12083,4.5,NA,2018
red_pine,no,no,928,ro,NA,30,0,20,14048,7,NA,2018
red_pine,yes,no,919,ro,NA,75,0,0,12136,3,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12069,5.5,NA,2018
red_pine,no,no,925,rm,NA,65,0,0,12113,12.5,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14142,7,NA,2018
red_pine,no,no,929,rm,NA,80,0,0,14047,5.5,NA,2018
red_pine,yes,no,937,co,NA,25,0,20,14128,5.5,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12096,7.25,NA,2018
red_pine,yes,no,921,ro,NA,30,0,20,14002,10,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14005,7,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14117,5,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14120,3.25,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12070,9.5,NA,2018
red_pine,no,no,929,rm,NA,80,0,0,14049,5,NA,2018
wedge,no,no,943,sb,NA,80,0,0,12128,6,1,2018
wedge,yes,no,939,sb,NA,70,0,80,12054,7,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12085,9.5,NA,2018
red_pine,no,no,929,rm,NA,80,0,0,14051,5,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14004,7.25,NA,2018
red_pine,no,no,930,ro,NA,40,0,0,14052,7.5,NA,2018
red_pine,yes,no,922,rm,NA,30,0,0,14026,8.25,NA,2018
red_pine,yes,no,923,rm,NA,45,0,5,14029,8.5,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14126,4.75,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14111,6.75,NA,2018
red_pine,yes,no,920,ro,NA,60,0,5,12145,4,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14125,3.75,NA,2018
boot,yes,no,903,sb,NA,50,0,5,12026,10.5,NA,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12068,5.5,1,2018
boot,yes,no,911,rm,NA,25,0,30,12084,6.75,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12075,9.5,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12081,6.25,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14123,6,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14116,8.5,NA,2018
red_pine,no,no,925,ro,NA,65,0,0,14041,6,NA,2018
boot,yes,no,906,sb,NA,50,0,0,12050,9,1,2018
boot,yes,no,909,rm,NA,40,0,5,12074,5.75,NA,2018
red_pine,yes,no,920,rm,NA,60,0,5,12144,7.5,NA,2018
red_pine,yes,no,938,co,NA,10,0,20,14141,8,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12088,5.5,NA,2018
red_pine,yes,no,936,co,NA,15,0,0,14121,5.75,NA,2018
boot,yes,no,911,rm,NA,25,0,30,12086,12.5,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12097,7,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12094,6,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12076,5.5,NA,2018
red_pine,yes,no,921,rm,NA,30,0,20,14001,5.5,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12091,6,NA,2018
red_pine,no,no,930,ro,NA,40,0,0,14051,7.5,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12069,6,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12072,6,NA,2018
red_pine,yes,no,920,rm,NA,60,0,5,12140,7,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12090,5.75,NA,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12124,3,NA,2018
boot,yes,no,905,sb,NA,85,0,5,12043,6.5,1,2018
boot,yes,no,911,rm,NA,25,0,30,12083,7,NA,2018
red_pine,no,no,926,rm,NA,40,0,15,14038,8.5,NA,2018
red_pine,yes,no,917,rm,NA,5,0,25,12129,6.75,NA,2018
red_pine,no,no,927,rm,NA,70,0,0,14040,4.75,NA,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14020,5,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12095,7,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12086,6.5,NA,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12125,3.5,NA,2018
red_pine,no,no,926,ro,NA,40,0,15,14043,6,NA,2018
red_pine,no,no,926,ro,NA,40,0,15,14042,7.5,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14110,7,NA,2018
red_pine,no,no,935,co,NA,20,0,50,14112,5.5,NA,2018
red_pine,no,no,928,ro,NA,30,0,20,14047,4.5,NA,2018
red_pine,yes,no,917,rm,NA,5,0,25,12127,6,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12094,4.5,NA,2018
red_pine,yes,no,917,rm,NA,5,0,25,12132,6,NA,2018
red_pine,yes,no,918,ro,NA,NA,NA,NA,12122,7.5,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12092,6,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12080,3.5,NA,2018
boot,yes,no,911,rm,NA,25,0,30,12087,6.5,1,2018
red_pine,no,no,933,co,NA,15,0,20,12082,4,NA,2018
red_pine,yes,no,919,ro,NA,75,0,0,14033,3.5,NA,2018
boot,yes,no,909,rm,NA,40,0,5,12067,6,NA,2018
boot,yes,no,910,rm,NA,30,0,30,12079,5.5,1,2018
red_pine,yes,no,937,co,NA,25,0,20,13135,7.25,1,2018
red_pine,yes,no,917,ro,NA,5,0,25,12130,4.75,NA,2018
boot,yes,no,912,rm,NA,65,0,5,12095,5.5,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12087,4,NA,2018
boot,no,no,914,rm,NA,20,0,20,12100,4.5,NA,2018
red_pine,yes,no,920,rm,NA,60,0,5,12139,5,NA,2018
red_pine,yes,no,917,rm,NA,5,0,25,12131,3.5,NA,2018
red_pine,no,no,928,rm,NA,30,0,20,14045,3,NA,2018
boot,no,no,914,rm,NA,20,0,20,12099,3,NA,2018
red_pine,yes,no,917,ro,NA,5,0,25,12128,5.5,NA,2018
red_pine,no,no,925,rm,NA,65,0,0,12114,5.25,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12093,6.25,1,2018
boot,yes,no,910,rm,NA,30,0,30,12077,5.5,1,2018
red_pine,no,no,934,co,NA,15,0,70,12089,4,NA,2018
boot,no,no,916,rm,NA,30,0,20,12109,3,NA,2018
boot,no,no,916,rm,NA,30,0,20,12112,3.25,NA,2018
wedge,no,no,942,sb,NA,80,0,0,12117,4.5,NA,2018
red_pine,no,no,933,co,NA,15,0,20,12081,3.5,1,2018
red_pine,no,no,927,rm,NA,70,0,0,14044,3.5,NA,2018
boot,no,no,914,rm,NA,20,0,20,12097,3.25,NA,2018
red_pine,no,no,927,rm,NA,70,0,0,14041,4,NA,2018
red_pine,no,no,934,co,NA,15,0,70,12100,4,1,2018
boot,no,no,914,rm,NA,20,0,20,12098,3,NA,2018
boot,no,no,916,rm,NA,30,0,20,12111,3.5,NA,2018
boot,no,no,913,rm,NA,40,0,40,12119,3.75,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12136,11,NA,2018
wedge,no,no,944,sb,NA,80,0,0,12135,10.5,1,2018
boot,no,no,908,sb,NA,60,0,0,12064,6.5,1,2018
boot,no,no,908,sb,NA,60,0,0,12065,8,1,2018
boot,no,no,908,sb,NA,60,0,0,12066,7.5,1,2018
wedge,no,no,944,sb,NA,80,0,0,12141,9,1,2018
boot,yes,no,905,sb,NA,85,0,5,12039,9.25,1,2018
boot,no,no,915,sb,NA,40,0,0,12105,3.25,1,2018
wedge,no,no,942,sb,NA,80,0,0,12116,5,1,2018
wedge,no,no,942,sb,NA,80,0,0,12122,5.75,1,2018
wedge,no,no,943,sb,NA,80,0,0,12127,7.5,1,2018
boot,no,no,913,rm,NA,40,0,40,12120,5.25,1,2018
boot,yes,no,910,rm,NA,30,0,30,12080,5.75,1,2018
red_pine,yes,no,918,ro,NA,0,NA,NA,12123,8,1,2018
red_pine,no,no,926,ro,NA,40,0,15,14042,3,NA,2018
red_pine,yes,no,922,rm,NA,30,0,0,14027,15.5,NA,2019
boot,yes,no,909,rm,NA,40,0,5,12068,11.5,NA,2019
boot,yes,no,910,rm,NA,30,0,30,12078,10.25,NA,2019
boot,no,no,913,rm,NA,40,0,40,12115,4,NA,2019
boot,no,no,913,rm,NA,40,0,40,12116,4,NA,2019
wedge,yes,no,941,sb,NA,80,0,40,12078,20.25,NA,2019
red_pine,yes,no,919,ro,NA,75,0,0,12134,20,NA,2019
red_pine,no,no,927,ro,NA,70,0,0,14045,19,1,2019
boot,yes,no,909,rm,NA,40,0,5,12071,12.5,NA,2019
red_pine,no,no,934,co,NA,15,0,70,12098,10,NA,2019
wedge,yes,no,939,sb,NA,70,0,80,12060,9,NA,2019
red_pine,no,no,934,co,NA,15,0,70,12099,9,NA,2019
