harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,yes,no,921,rm,NA,30,0,20,14008,6.5,2018
boot,no,no,908,sb,NA,60,0,0,12060,6,2018
boot,yes,no,903,sb,NA,50,0,5,12022,10,2018
red_pine,no,no,933,co,NA,15,0,20,12084,7,2018
red_pine,yes,no,921,rm,NA,30,0,20,14003,6,2018
boot,no,no,907,sb,NA,60,0,10,12057,6.75,2018
red_pine,yes,no,922,rm,NA,30,0,0,14028,7.5,2018
red_pine,no,no,930,rm,NA,40,0,0,14054,6.5,2018
boot,yes,no,904,sb,NA,70,0,0,12030,7.5,2018
wedge,yes,no,939,sb,NA,70,0,80,12053,4.5,2018
red_pine,yes,no,936,co,NA,15,0,0,14124,9.75,2018
wedge,yes,no,941,sb,NA,80,0,40,12072,8,2018
red_pine,no,no,934,co,NA,15,0,70,12092,7.75,2018
red_pine,yes,no,920,rm,NA,60,0,5,12141,8,2018
boot,yes,no,903,sb,NA,50,0,5,12021,6.75,2018
wedge,yes,no,940,sb,NA,NA,NA,NA,12070,8.5,2018
red_pine,no,no,930,ro,NA,40,0,0,14053,8,2018
red_pine,yes,no,938,co,NA,10,0,20,14137,7.5,2018
red_pine,no,no,931,ro,NA,85,0,0,14057,9.5,2018
red_pine,yes,no,937,co,NA,25,0,20,14132,9,2018
red_pine,yes,no,937,co,NA,25,0,20,14133,8,2018
red_pine,no,no,932,ro,NA,95,0,0,14083,7,2018
red_pine,yes,no,923,ro,NA,45,0,5,14012,8,2018
red_pine,no,no,934,co,NA,15,0,70,12090,8.5,2018
red_pine,yes,no,937,co,NA,25,0,20,14134,7.25,2018
red_pine,no,no,930,rm,NA,40,0,0,14053,5.5,2018
boot,no,no,907,sb,NA,60,0,10,12056,6,2018
wedge,no,no,943,sb,NA,80,0,0,12126,6.5,2018
red_pine,yes,no,918,rm,NA,NA,NA,NA,12126,8.5,2018
red_pine,yes,no,924,rm,NA,NA,NA,NA,14022,6.75,2018
wedge,no,no,944,sb,NA,80,0,0,12140,11.5,2018
red_pine,no,no,935,co,NA,20,0,50,14119,6,2018
boot,yes,no,912,rm,NA,65,0,5,12091,12.5,2018
red_pine,yes,no,938,co,NA,10,0,20,14139,6.5,2018
red_pine,yes,no,937,co,NA,25,0,20,14127,11.5,2018
red_pine,yes,no,936,co,NA,15,0,0,14122,6.25,2018
red_pine,no,no,933,co,NA,15,0,20,12083,4.5,2018
